,Produto,Preco
154,"SOLUSTRE Conjunto de 6 pincéis de limpeza de teclado, pequenos pincéis antiestáticos para computador, celular, conjunto de ferramentas de limpeza de teclado",65.0
155,"Fonte 200W, Fortrek, Acessórios para Computador",79.0
156,Adaptador USB Bluetooth 4.0 CSR Dongle para Computador e Notebook,24.0
157,Computador Pc Completo Intel i5 3°Geração 8GB SSD 240GB Wi-fi,2899.0
158,Webcam Multilaser Plug E Play 16Mp Nightvision Microfone Usb Preto - WC045,76.0
159,Computador Completo Intel Core 2 Duo 8GB HD 500GB Monitor,2149.0
160,"Cabo de Força para Computador 10A 1, 2Mt Tripolar X-CELL, Xcell, Cabos para computadores e notebooks, Preto",29.0
161,Caixa De Som Multilaser 20 Mini 3W Rms Preta - SP144,29.0
162,"ZIXING Webcam de computador HD 1080p, câmera Web de ângulo ultra grande com microfone de redução de ruído, adequada para computadores de mesa, laptop, PC, jogos, rede, ensino de conferência",173.0
163,Sangmei Cabo HDMI 2.1 Cabo HD com 8K de resolução 4K a 120Hz Visão 3D 48Gbps Largura de banda para o computador Smart Box Projector 3m,159.0
164,"Prasacco Capa para monitor de computador PU 24""",97.0
165,Pc Gamer Completo Maximus I5 GT 730 4GB 8GB Hd 1Tb Wi-fi,4199.0
166,Pc Gamer Bravus Intel i7 GTX 1650 16GB Hd 1TB SSD 120GB Wi-fi,8990.0
167,"Rato para jogos RGB sem fio, mouse de computador óptico USB de 2,4 GHz com RGB, 5 DPI ajustável até 3600, mouse de laptop ergonômico com 7 botões programáveis,rosa",159.0
168,Mouse sem fio Logitech M280 com Conexão USB e Pilha Inclusa - Preto,83.0
169,"Computador CorPC Intel Core i3 4GB DDR3, HD 500GB e Monitor LED 19.5",1819.0
170,"GABINETE TT VERSA H15 BLACK CASE WINDOW SECC CA-1D4-00S1WN-00*, Thermaltake, CA-1D4-00S1WN-00*",360.0
171,Teclado Gamer Desert Eagle com Tecnologia de Membrana Tripla - TGDE,325.0
172,GABINETE TT V250 TG ARGB/BLACK/SPCC/TEMP.GLASS*1 CA-1Q5-00M1WN-00*,818.0
173,"OSALADI Microfone de mesa USB condensador para computador, microfone plug and play, microfone USB para PC, laptop, streaming ao vivo, gravação, podcasts",45.0
174,"Gabinete TT Versa J25 TG RGB/BK/WIN/T.GLASS*1/MBSYNC, Thermaltake, CA-1L8-00M1WN-01",709.0
175,"Gabinete Gamer Mid Tower RGB Rift Preto , Lateral em Acrilico , Aerocool",299.0
176,Caixa De Som Multilaser 20 Mini 3W Rms Preta - SP144,29.0
177,Cabo Multilaser De Forca Monitor - WI223,23.0
178,GABINETE GAMER REDRAGON SUPERION PTO,491.0
179,"Teclado Gamer Cooler Master MK110 RGB, Switches Mem-chanical Lineares, 26-Key Anti-Ghosting, Layout BR-ABNT2",249.0
180,"Computador IntelCore i5, 3,2G, com HMDI, 500GB, Windows 10 e Wi-Fi",1659.0
181,Computador Pc Cpu Intel Core i5 Com Hdmi 16GB HD 500GB+SSD 240GB Windows 10 Wifi Desktop,2200.0
182,"Computador Core I5 Quad Core intel, 8GB Memoria, SSD 240GB ultra velocidade, Gabinete com fonte",1649.0
183,"Computador E3 Nano Intel Dual Core J1800, 4GB, SSD 120GB, 46NEMPC0B8NF - Elgin",1199.0
184,"Teclado rainbow flat, tc303",116.0
185,Gabinete Atx Mid Tower - 4000 Series - 4000D Airflow White - Cc-9011201-Ww,839.0
186,CADEIRA FORTREK VICKERS PT/AZ,1092.0
187,Kit Teclado + Mouse HP Gamer USB KM200 Preto - Layout ABNT2 Iluminação LED Teclas Multimídia Mouse 2400 DPI - 7JH33AA,264.0
188,Teclado Multilaser Slim Standard USB Preto - TC065,29.0
