,Produto,Preco
304,"Computador Desktop Business Intel Core i3 3.0Ghz / 4Gb DDR3 /HD 1TB
",1324.06
460,"Computador Desktop I3 8gb Hd 2 Tb Digital Corp
",1315.28
342,"Computador Processador Amd Fm2 A10 4gb de Ram Ssd 120 Gb Dvdrw Digital Corp
",1338.07
895,"Computador Flex Computer Intel Core i5 4GB HD 2Tb
",1533.48
1123,"Computador Icc Processador Amd Fm2 A10 4gb de Ram Hd 500gb Kit Multimídia Windows 10
",1583.86
621,"Computador Flex Computer Intel Core I3-2100 4GB HD 2Tb Com Kit
",1390.34
94,"Computador Desktop Lenovo M70q i3-10100T 4GB 500GB Windows 10 Home 11DU0022BP Preto
",2617.15
476,"mesa de computador pratica branco
",1232.5
234,"Computador Simples Core i3 4gb Ram Hd 320gb Windows 10 Pró - Pacote de Programas - Gravador de DVD
",1254.06
152,"Computador Cpu Intel Core I5 8gb SSD 120gb
",1676.2
714,"Computador Icc Processador Amd Fm2 A8 6gb de Ram Hd 500gb Kit Multimídia
",1663.77
348,"Computador Fácil Intel Core i5 8GB SSD 240GB
",1318.24
1071,"Mesa de Computador com Gaveta Viena cor Malbec
",1227.6
979,"Computador Pc Cpu Intel Core I3 8GB HD 500GB Windows 10 Pro Hdmi Desktop
",1580.07
318,"Computador Flex Computer Intel Core I5-2400S 4GB SSD 120Gb
",1439.1
377,"Computador Completo Intel i3 4GB de ram ssd 120GB Windows 10 pro Monitor + Teclado e Mouse
",1208.07
1075,"Computador Intel Core i3 4GB ssd 120GB Hdmi Windows 10 Desktop Pc - Mali Brasil
",1462.4
1146,"Mesa p/Computador Tecno Mobili ME-4107 Branco
",2083.84
413,"Computador Flex Computer Intel Core i3 4GB HD 500Gb Com Kit Windows 10
",1487.99
62,"Computador Completo Monitor 19 Intel Core i5 8GB ssd 240GB Windows 10 Teclado e Mouse Desktop Pc
",2138.99
642,"Computador Icc Processador Amd Fm2 A8 4gb de Ram Hd 500gb Dvdrw
",1436.84
349,"Computador Flex Computer Intel Core i3 4GB HD 500Gb Windows 10
",1310.8
