,Produto,Preco
459,"Computador EasyPC Slim White Intel Core i3 4GB HD 1TB Monitor LED 19.5"" HQ HDMI Branco",2419.19
446,Computador EasyPC Standard Intel Core i5 8GB DDR3 HD 1TB HDMI FullHD audio 5.1 Monitor 19.5,2308.31
12,"Kit Computador Desktop Dell Vostro 3681-M10M 10ª Geração Intel Core i3 4GB 1TB Windows 10 + Monitor 21""",3536.1
357,Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB SSD 120GB,2570.54
472,"Computador Completo PC CPU Flex ASUS Intel Core I5 16GB SSD 480Gb Com Kit Monitor 19"" Windows 10",3152.61
471,"Computador Completo PC CPU Monitor 19.5"" HDMI Intel Core i3 6GB HD 500GB com teclado e mouse Desktop Wifi CorPC",2099.0
620,Computador Intel Core i3 16GB SSD 240GB EasyPC Go,1705.19
889,"Computador Completo Intel 7ª Geração 8GB SSD 120GB wifi (Placa de vídeo Intel UHD 610) Monitor 19.5"" LED HDMI Skill SpeedUP",2422.49
529,Computador Intel Core i5 9ª Geração 8GB DDR4 SSD 480GB (Placa de vídeo GEFORCE GT) Placa mãe ASUS Skill HomeJob,2991.99
272,"Computador Completo Skill HomeWork Monitor HDMI LED 19.5"" Intel Dual Core 4GB SSD 60GB Windows 10 Pro HDMI Full HD",1776.49
583,Computador PC Intel 8ª Geração 8GB DDR4 SSD 120GB (Placa de vídeo Intel UHD 610) HDMI Full HD Skill SpeedUP,1708.49
63,Computador ICC Core I3 3.20ghz 8GB HD 120GB SSD Kit Multimídia Monitor LED HDMI FULLHD,1622.65
79,"Computador Completo Intel Core i7 8GB HD 2TB Monitor HDMI 19.5""",3210.05
786,"Computador Completo AMD 6-Core 4GB (Placa de vídeo RADEON R5) SSD 120GB Monitor 19"" HDMI Windows 10 Pro HDMIL Full HD DC Slim2",2328.99
495,"Computador CorPC Intel Core i3 4GB DDR3, HD 500GB e Monitor LED 19.5",1805.57
19,Computador Desktop Intel Core i7 16GB SSD 480GB CorPC Fast,2811.05
746,computador dual core  lga 1155 memoria 8gb ddr3 fonte 200w hd 500gb wifi,1348.99
716,Computador Fácil AMD ATHLON 3000G 16GB DDR4 2666Mhz SSD 480GB Radeon Vega 3,2209.34
138,Computador Fácil Intel Core i5 8GB SSD 480GB,1547.14
72,Computador Intel Core i5 8GB HD 500GB Mouse teclado mousepad Quantum Premium,1915.19
964,"Computador Completo Intel Core i7 8GB HD 3TB Monitor LED 19.5"" HDMI EasyPC Go",3007.19
926,"Computador Completo Intel Core i3 4GB SSD 240GB Windows 10 HDMI Wifi dual band Monitor 19"" EasyPC Desktop",2570.39
843,Pc Computador Gamer Completo AMD Athlon320ge HD 1TB Monitor,4133.93
732,"Computador Completo Intel Core i3 4GB SSD 120GB Monitor 19.5"" LED HDMI Áudio 5.1 canais Quantum Star",1831.19
439,Computador Intel Core i3 8GB HD 500GB HDMI Full HD Áudio 5.1 canais PC CPU Windows 10 Quantum Slim Flex,1856.39
130,Computador Fácil Intel Core i5 8GB HD 500GB,1306.34
762,Computador Gamer Fácil Intel Core i5 (Terceira Geração) 8GB GT 1030 2GB SSD 240GB,2759.74
26,"Computador Desktop Completo com Monitor 19.5"" HDMI Wifi Intel Core i5 8GB HD 1TB EasyPC Terabyte",2356.19
742,Computador Desktop Icc Intel Core i5 8gb HD 2tb,1558.76
774,"Computador Gamer ARK Powered By Asus AMD Ryzen 5 3400G, 8GB, SSD 240GB, Radeon Vega 11, Windows 10 Pro",3545.0
279,"Computador PC CPU Completo Intel Core i5 3.20Ghz 8Gb 2Tb Monitor 19"" Hmdi Kit Windows 10",2641.95
1029,Computador de mesa completo intel i3 8gb ssd 240gb,2799.0
911,Computador i5 8 gb ssd 120 hd 500 Desktop NextPC,1855.0
1019,Computador Nuc Intel Windows Computador Nuc Nucj40054120wp Dual Core J4005 4gb Ddr4 Ssd 120gb Wifi Windows 10 Pro,1832.75
354,Computador PC CPU Intel Core i5 8GB SSD 240GB HDMI FullHD Áudio 5.1 canais Quantum Star,1604.39
737,Computador Desktop Completo Intel Core i3 3.10GHZ / 6GB DDR3 / HD 500GB / SSD 240GB / Monitor Led 19 / Gravador de DVD,2297.01
851,Computador Fácil Intel Core i5 4GB HD 500GB,1211.74
720,"Computador Intel Core i5 3.2GHz, RAM 8GB, SSD 240GB, WIFI, Windows 10",1519.05
145,"Computador Completo Intel Core i7 16GB SSD 480GB Monitor Full HD 21.5"" HDMI CorPC Fast",3752.69
1012,Computador PC CPU Intel 8ª Geração 4GB SSD 120GB HDMI 4K Áudio 5.1 canais Skill DC,1495.99
278,"Computador Completo Intel 8ª Geração 8GB DDR4 HD 1TB (Placa de vídeo Intel UHD 610) Monitor 19.5"" LED HDMI Skill SpeedUP",2566.99
624,Computador PC CPU Completo Intel Core i5 3.20Ghz 8Gb HD SSD 120GB,1600.75
523,Computador Corporate I7 6gb de Ram Ssd 240 Gb,1859.76
399,Computador PC CPU Intel 7ª Geração 8GB HD 500GB HDMI 4K Áudio 5.1 canais Skill DC,1546.99
51,Computador ICC Intel Core I3 3.20 ghz 4GB HD 250GB Kit Multimídia HDMI FULLHD Monitor LED,1461.15
509,Computador Fácil Intel Core i7 3.4GHz 8GB SSD 240GB,1916.94
21,"Computador Completo Intel Core i5 8GB SSD 240GB Monitor LED 19.5"" HDMI EasyPC Go",2276.39
178,Computador Completo Intel Core i3 4GB SSD 240GB Monitor LED HDMI Áudio 5.1 canais Quantum Star,1906.79
36,Computador Completo Intel Core i3 4GB SSD 120GB Monitor LED HDMI Áudio 5.1 canais Quantum Star,1763.99
617,"Computador Completo Intel Core i5 12GB HD 500GB Monitor LED 19.5"" HDMI EasyPC Go",2251.19
